,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4
0,4,1.9366271495819087,,0.4697265625,0.4833984375,-712.9209594726562,-710.6614379882812,0.01,515.1362915039062,512.87841796875,0.0390918254852294,1024.0,1024.0,1024.0,1434.057373046875,0.546875,0.4560546875,0.4853515625,0.5146484375,0.4853515625
0,4,1.9370667934417725,,0.578125,0.5537109375,-707.60791015625,-708.9046630859375,0.01,509.8254699707031,511.12213134765625,0.0352413654327392,1024.0,1024.0,1024.0,1415.8589477539062,0.5537109375,0.4443359375,0.5546875,0.5146484375,0.4853515625
0,4,1.937360405921936,,0.564453125,0.546875,-705.0668334960938,-707.993896484375,0.01,507.28900146484375,510.21136474609375,0.0359513759613037,1024.0,1024.0,1024.0,1407.6262817382812,0.5615234375,0.46875,0.58203125,0.5830078125,0.5146484375
0,4,1.937010765075684,,0.541015625,0.5263671875,-703.021240234375,-704.3834228515625,0.01,505.2581787109375,506.6191101074219,0.035567283630371,1024.0,1024.0,1024.0,1402.8298034667969,0.5654296875,0.5009765625,0.5400390625,0.546875,0.5146484375
0,4,1.9359700679779053,,0.552734375,0.5546875,-700.9802856445312,-700.7083740234375,0.01,503.2564697265625,503.0025634765625,0.0352416038513183,1024.0,1024.0,1024.0,1397.8670043945312,0.5712890625,0.5419921875,0.564453125,0.560546875,0.5146484375
0,4,1.9344279766082764,,0.556640625,0.5615234375,-698.3687133789062,-697.401123046875,0.01,500.704833984375,499.7831726074219,0.0347974300384521,1024.0,1024.0,1024.0,1392.919921875,0.5830078125,0.548828125,0.572265625,0.560546875,0.5146484375
0,4,1.93258535861969,,0.5673828125,0.568359375,-695.7060546875,-693.7523803710938,0.01,498.1388244628906,496.2843627929688,0.0346236228942871,1024.0,1024.0,1024.0,1388.5744018554688,0.5859375,0.5361328125,0.57421875,0.5712890625,0.4853515625
0,4,1.930570125579834,,0.5732421875,0.5673828125,-692.2333984375,-691.189453125,0.01,494.7714538574219,493.8626403808594,0.0346384048461914,1024.0,1024.0,1024.0,1385.4354553222656,0.59375,0.5517578125,0.5791015625,0.572265625,0.5712890625
0,4,1.9287775754928589,,0.583984375,0.5732421875,-689.1077880859375,-687.4107666015625,0.01,491.8283386230469,490.3704223632813,0.0346760749816894,1024.0,1024.0,1024.0,1381.6449279785156,0.5966796875,0.560546875,0.5859375,0.587890625,0.5849609375
0,4,1.9271252155303955,,0.5849609375,0.5712890625,-685.375,-685.1495361328125,0.01,488.3048095703125,488.3981018066406,0.0346105098724365,1024.0,1024.0,1024.0,1378.8546142578125,0.5966796875,0.5732421875,0.587890625,0.591796875,0.5869140625
