,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4
0,4,1.9395172595977783,,0.5,0.494140625,-714.2350463867188,-714.49462890625,0.01,516.4481201171875,516.7078857421875,0.0344383716583251,1024.0,1024.0,1024.0,1412.0046691894531,0.9296875,0.5,0.5,0.5,0.5
0,4,1.9413024187088013,,0.5,0.494140625,-700.7481079101562,-701.322998046875,0.01,503.0222473144531,503.5973205566406,0.0336279869079589,1024.0,1024.0,1024.0,1359.9808654785156,0.98046875,0.5,0.5,0.5,0.9140625
0,4,1.9421857595443728,,0.5,0.494140625,-686.1744995117188,-686.8872680664062,0.01,488.6549682617188,489.3692626953125,0.0335986614227294,1024.0,1024.0,1024.0,1315.5521545410156,0.935546875,0.5,0.5,0.5,0.5
0,4,1.9417645931243896,,0.5,0.494140625,-664.543212890625,-664.91650390625,0.01,467.2960815429688,467.6773071289063,0.0337002277374267,1024.0,1024.0,1024.0,1269.2056884765625,0.923828125,0.5,0.5,0.5,0.5
0,4,1.940312385559082,,0.7421875,0.7216796875,-633.8422241210938,-633.6978759765625,0.01,437.11224365234375,436.9897766113281,0.0336847305297851,1024.0,1024.0,1024.0,1218.8381958007812,0.9208984375,0.8056640625,0.875,0.5,0.5
0,4,1.9383792877197263,,0.916015625,0.927734375,-594.170654296875,-593.1174926757812,0.01,398.33984375,397.3315734863281,0.033614158630371,1024.0,1024.0,1024.0,1161.128875732422,0.9296875,0.8857421875,0.974609375,0.9072265625,0.5
0,4,1.9363906383514404,,0.9658203125,0.9638671875,-542.074462890625,-540.530029296875,0.01,348.93341064453125,347.482421875,0.0341296195983886,1024.0,1024.0,1024.0,1094.591796875,0.9345703125,0.912109375,0.9697265625,0.96875,0.5
0,4,1.9350926876068115,,0.96484375,0.958984375,-477.2951354980469,-475.41217041015625,0.01,290.7694702148437,289.07928466796875,0.0345387458801269,1024.0,1024.0,1024.0,1016.4192504882812,0.9443359375,0.9248046875,0.9677734375,0.9638671875,0.880859375
0,4,1.9355589151382449,,0.9501953125,0.9560546875,-409.033935546875,-406.6239929199219,0.01,234.77163696289065,232.68006896972656,0.0362999439239501,1024.0,1024.0,1024.0,930.4883728027344,0.951171875,0.931640625,0.9609375,0.943359375,0.919921875
0,4,1.9374481439590447,,0.947265625,0.955078125,-347.1507568359375,-344.3563537597656,0.01,188.04248046875,185.6508026123047,0.0385453701019287,1024.0,1024.0,1024.0,846.2029113769531,0.9619140625,0.9326171875,0.955078125,0.947265625,0.9287109375
0,4,1.9400057792663568,,0.958984375,0.9541015625,-293.4864807128906,-290.662109375,0.01,149.33279418945312,146.99215698242188,0.0355851650238037,1024.0,1024.0,1024.0,772.4270172119141,0.9619140625,0.935546875,0.9521484375,0.962890625,0.943359375
0,4,1.942877173423767,,0.9599609375,0.958984375,-248.2105712890625,-245.7345733642578,0.01,118.37904357910156,116.50114440917967,0.0342943668365478,1024.0,1024.0,1024.0,708.1344757080078,0.9619140625,0.9384765625,0.953125,0.962890625,0.9658203125
0,4,1.945899486541748,,0.9609375,0.9638671875,-212.91021728515625,-210.6885223388672,0.01,96.1032257080078,94.54083251953124,0.0344519615173339,1024.0,1024.0,1024.0,653.1746368408203,0.9609375,0.9423828125,0.9619140625,0.96875,0.96875
0,4,1.9489729404449463,,0.970703125,0.96875,-184.3417053222656,-182.26419067382807,0.01,78.75320434570312,77.33140563964844,0.0343263149261474,1024.0,1024.0,1024.0,607.2610626220703,0.9619140625,0.9541015625,0.9697265625,0.9755859375,0.9765625
0,4,1.9520516395568848,,0.9775390625,0.9765625,-160.92056274414062,-158.77577209472656,0.01,64.96438598632812,63.46075439453125,0.0338702201843261,1024.0,1024.0,1024.0,568.2247314453125,0.9619140625,0.9580078125,0.9755859375,0.9814453125,0.9833984375
0,4,1.9551043510437007,,0.9814453125,0.984375,-141.04933166503906,-138.81210327148438,0.01,53.61982727050781,52.025726318359375,0.0338973999023437,1024.0,1024.0,1024.0,535.1817932128906,0.9619140625,0.9580078125,0.98046875,0.9853515625,0.984375
0,4,1.9581058025360107,,0.9853515625,0.98828125,-123.68760681152344,-122.12006378173828,0.01,44.25599670410156,43.28559875488281,0.0337169170379638,1024.0,1024.0,1024.0,504.8892440795898,0.9619140625,0.9638671875,0.9853515625,0.986328125,0.986328125
0,4,1.96102261543274,,0.9873046875,0.9912109375,-108.39038848876952,-106.7212371826172,0.01,36.716888427734375,35.630706787109375,0.0337133407592773,1024.0,1024.0,1024.0,478.3380432128906,0.9619140625,0.9638671875,0.9873046875,0.9873046875,0.98828125
0,4,1.9638177156448364,,0.98828125,0.98828125,-95.69515991210938,-93.62620544433594,0.01,31.458297729492188,29.992584228515625,0.0335960388183593,1024.0,1024.0,1024.0,454.4704284667969,0.9599609375,0.9658203125,0.9892578125,0.990234375,0.990234375
0,4,1.966453433036804,,0.9892578125,0.9921875,-84.1200942993164,-82.88148498535156,0.01,27.20587158203125,26.537353515625,0.0337405204772949,1024.0,1024.0,1024.0,432.8153991699219,0.9609375,0.9658203125,0.98828125,0.9892578125,0.9912109375
0,4,1.9689280986785889,,0.9892578125,0.9921875,-74.5952377319336,-73.25454711914062,0.01,24.05535888671875,23.274139404296875,0.0337607860565185,1024.0,1024.0,1024.0,413.3741836547852,0.9609375,0.9658203125,0.990234375,0.9912109375,0.990234375
0,4,1.971206426620484,,0.990234375,0.9921875,-66.6491928100586,-65.18904113769531,0.01,21.738510131835938,20.823806762695312,0.0336875915527343,1024.0,1024.0,1024.0,396.3988876342773,0.9599609375,0.9658203125,0.9912109375,0.9921875,0.9921875
0,4,1.9732928276062007,,0.9921875,0.994140625,-59.8826789855957,-58.726322174072266,0.01,19.812652587890625,19.15345764160156,0.0337665081024169,1024.0,1024.0,1024.0,381.310173034668,0.9609375,0.9658203125,0.9912109375,0.9931640625,0.9931640625
0,4,1.9751935005187988,,0.9921875,0.9921875,-54.43248748779297,-53.23038864135742,0.01,18.23291015625,17.464401245117188,0.0337533950805664,1024.0,1024.0,1024.0,367.5845947265625,0.9609375,0.966796875,0.9921875,0.9921875,0.9921875
0,4,1.976938009262085,,0.994140625,0.9931640625,-49.66355895996094,-48.761451721191406,0.01,16.762954711914062,16.222259521484375,0.0338239669799804,1024.0,1024.0,1024.0,355.64444732666016,0.9609375,0.9697265625,0.9931640625,0.9931640625,0.9931640625
0,4,1.9785237312316888,,0.9921875,0.994140625,-45.61874008178711,-45.24260330200195,0.01,15.470077514648438,15.372177124023438,0.0337696075439453,1024.0,1024.0,1024.0,344.91552734375,0.958984375,0.9697265625,0.9951171875,0.9951171875,0.994140625
0,4,1.9799556732177728,,0.994140625,0.9931640625,-42.42142868041992,-41.9405632019043,0.01,14.422653198242188,14.160888671875,0.0336012840270996,1024.0,1024.0,1024.0,334.80370330810547,0.9599609375,0.97265625,0.994140625,0.9951171875,0.9951171875
0,4,1.9812698364257808,,0.9931640625,0.994140625,-40.51446533203125,-39.503211975097656,0.01,14.19171142578125,13.344009399414062,0.0336737632751464,1024.0,1024.0,1024.0,326.0309219360352,0.9599609375,0.9755859375,0.9931640625,0.9951171875,0.9951171875
0,4,1.9824562072753904,,0.994140625,0.994140625,-37.29655456542969,-37.0864372253418,0.01,12.820098876953123,12.735214233398438,0.0338029861450195,1024.0,1024.0,1024.0,317.70316314697266,0.9609375,0.9775390625,0.9951171875,0.9951171875,0.9951171875
0,4,1.9835543632507324,,0.994140625,0.994140625,-35.26820373535156,-35.233211517333984,0.01,12.302139282226562,12.365982055664062,0.0337309837341308,1024.0,1024.0,1024.0,310.04199981689453,0.9609375,0.9794921875,0.99609375,0.99609375,0.99609375
0,4,1.9845688343048096,,0.9951171875,0.99609375,-33.733154296875,-33.16921615600586,0.01,12.0560302734375,11.601394653320312,0.0666675567626953,1024.0,1024.0,1024.0,303.0380249023437,0.9609375,0.9814453125,0.994140625,0.994140625,0.994140625
0,4,1.985501289367676,,0.9951171875,0.9951171875,-32.05832290649414,-31.5950927734375,0.01,11.6258544921875,11.268295288085938,0.0332074165344238,1024.0,1024.0,1024.0,296.41424560546875,0.9609375,0.9833984375,0.9951171875,0.9951171875,0.9951171875
0,4,1.986365914344788,,0.9951171875,0.9931640625,-30.54442596435547,-30.30446052551269,0.01,11.156463623046877,11.004119873046877,0.0336883068084716,1024.0,1024.0,1024.0,290.28785705566406,0.962890625,0.984375,0.9951171875,0.99609375,0.9951171875
0,4,1.98716402053833,,0.9951171875,0.9931640625,-29.295610427856445,-29.104278564453125,0.01,10.775070190429688,10.655258178710938,0.0335338115692138,1024.0,1024.0,1024.0,284.7606887817383,0.962890625,0.984375,0.9951171875,0.99609375,0.99609375
0,4,1.9879143238067627,,0.994140625,0.9951171875,-28.632774353027344,-27.99821662902832,0.01,10.816818237304688,10.256973266601562,0.034252643585205,1024.0,1024.0,1024.0,279.1847610473633,0.962890625,0.986328125,0.994140625,0.9951171875,0.9951171875
0,4,1.98861050605774,,0.994140625,0.99609375,-27.600215911865234,-27.029857635498047,0.01,10.508697509765623,10.006332397460938,0.0342805385589599,1024.0,1024.0,1024.0,274.4149169921875,0.962890625,0.9873046875,0.994140625,0.994140625,0.994140625
0,4,1.9892709255218504,,0.99609375,0.994140625,-26.349655151367188,-26.3304443359375,0.01,9.870361328125,9.880630493164062,0.0342490673065185,1024.0,1024.0,1024.0,269.42325592041016,0.962890625,0.9873046875,0.99609375,0.99609375,0.99609375
0,4,1.989895582199097,,0.9951171875,0.994140625,-25.549463272094727,-25.632123947143555,0.01,9.708847045898438,9.811019897460938,0.0342268943786621,1024.0,1024.0,1024.0,265.4828338623047,0.9638671875,0.9873046875,0.99609375,0.998046875,0.998046875
0,4,1.99048376083374,,0.9931640625,0.994140625,-25.549785614013672,-24.736724853515625,0.01,10.2806396484375,9.523788452148438,0.0338606834411621,1024.0,1024.0,1024.0,260.93144607543945,0.9638671875,0.9873046875,0.994140625,0.9951171875,0.9951171875
0,4,1.9910393953323364,,0.9951171875,0.99609375,-24.2375602722168,-23.84203147888184,0.01,9.580886840820312,9.2236328125,0.0336534976959228,1024.0,1024.0,1024.0,256.852165222168,0.96484375,0.98828125,0.9951171875,0.9951171875,0.9951171875
0,4,1.991553783416748,,0.9951171875,0.99609375,-23.304527282714844,-23.09617805480957,0.01,9.23480224609375,9.048324584960938,0.0336699485778808,1024.0,1024.0,1024.0,252.8009796142578,0.96484375,0.9873046875,0.9951171875,0.9951171875,0.99609375
0,4,1.992044448852539,,0.9951171875,0.994140625,-22.47468948364257,-22.684701919555664,0.01,8.93365478515625,9.121475219726562,0.0335378646850585,1024.0,1024.0,1024.0,248.77024459838867,0.96484375,0.98828125,0.99609375,0.998046875,0.998046875
0,4,1.992502212524414,,0.9951171875,0.99609375,-21.844247817993164,-21.48422241210937,0.01,8.950775146484375,8.5975341796875,0.0338799953460693,1024.0,1024.0,1024.0,245.7298355102539,0.96484375,0.98828125,0.9951171875,0.9951171875,0.9951171875
0,4,1.99294114112854,,0.9951171875,0.99609375,-20.904586791992188,-20.67167854309082,0.01,8.60174560546875,8.354904174804688,0.0337002277374267,1024.0,1024.0,1024.0,241.49935150146484,0.96484375,0.9892578125,0.9951171875,0.9951171875,0.9951171875
0,4,1.9933397769927976,,0.99609375,0.994140625,-19.970014572143555,-20.23422622680664,0.01,8.284759521484375,8.5068359375,0.0337238311767578,1024.0,1024.0,1024.0,239.07121658325195,0.9658203125,0.9912109375,0.99609375,0.998046875,0.998046875
0,4,1.993717074394226,,0.994140625,0.9951171875,-19.666349411010746,-19.14113998413086,0.01,8.619644165039062,8.109970092773438,0.0337402820587158,1024.0,1024.0,1024.0,234.9745750427246,0.9658203125,0.9912109375,0.994140625,0.99609375,0.99609375
0,4,1.9940497875213623,,0.9951171875,0.99609375,-18.5189208984375,-18.359798431396484,0.01,8.0413818359375,7.879180908203125,0.0337216854095459,1024.0,1024.0,1024.0,231.7906036376953,0.9658203125,0.9921875,0.9951171875,0.9951171875,0.9951171875
0,4,1.9943616390228271,,0.99609375,0.9951171875,-17.665767669677734,-17.76235580444336,0.01,7.68341064453125,7.757080078125,0.033599853515625,1024.0,1024.0,1024.0,228.532943725586,0.966796875,0.9921875,0.99609375,0.99609375,0.99609375
0,4,1.994652509689331,,0.9951171875,0.99609375,-17.153059005737305,-17.01326560974121,0.01,7.656890869140625,7.5148773193359375,0.0336959362030029,1024.0,1024.0,1024.0,225.7993278503418,0.966796875,0.9921875,0.9951171875,0.9951171875,0.9951171875
0,4,1.994913339614868,,0.9951171875,0.99609375,-16.564044952392578,-16.43716812133789,0.01,7.50421142578125,7.381500244140625,0.033646821975708,1024.0,1024.0,1024.0,222.8647575378418,0.9658203125,0.9931640625,0.9951171875,0.9951171875,0.9951171875
0,4,1.995155930519104,,0.9951171875,0.99609375,-15.905191421508787,-15.997477531433104,0.01,7.179107666015625,7.257705688476562,0.0336225032806396,1024.0,1024.0,1024.0,220.4141082763672,0.966796875,0.9931640625,0.99609375,0.99609375,0.99609375
0,4,1.9953824281692505,,0.9951171875,0.99609375,-15.574834823608398,-15.475162506103516,0.01,7.244781494140625,7.1633148193359375,0.0337178707122802,1024.0,1024.0,1024.0,217.8584518432617,0.966796875,0.9931640625,0.9951171875,0.9951171875,0.9951171875
0,4,1.9955954551696773,,0.9951171875,0.99609375,-15.438644409179688,-15.140411376953123,0.01,7.3535614013671875,7.0868682861328125,0.0341224670410156,1024.0,1024.0,1024.0,215.88783645629883,0.966796875,0.994140625,0.9951171875,0.9951171875,0.9951171875
0,4,1.995768070220948,,0.99609375,0.9951171875,-14.740459442138672,-14.986225128173828,0.01,6.864715576171875,7.10723876953125,0.0364208221435546,1024.0,1024.0,1024.0,213.7158546447754,0.966796875,0.9931640625,0.99609375,0.99609375,0.99609375
0,4,1.9959417581558228,,0.9951171875,0.99609375,-14.637807846069336,-14.605618476867676,0.01,6.93756103515625,6.928756713867188,0.0376243591308593,1024.0,1024.0,1024.0,211.33641815185547,0.96875,0.994140625,0.9951171875,0.9951171875,0.9951171875
0,4,1.996101140975952,,0.9951171875,0.99609375,-14.533487319946287,-14.416614532470703,0.01,6.9770355224609375,6.896697998046875,0.0342495441436767,1024.0,1024.0,1024.0,209.14818572998047,0.9677734375,0.994140625,0.9951171875,0.9951171875,0.9951171875
0,4,1.996257305145264,,0.9951171875,0.99609375,-14.283721923828123,-14.279648780822754,0.01,6.8148956298828125,6.83526611328125,0.0338997840881347,1024.0,1024.0,1024.0,207.245849609375,0.96875,0.994140625,0.9951171875,0.9951171875,0.9951171875
0,4,1.99641227722168,,0.99609375,0.99609375,-14.017693519592283,-14.21182918548584,0.01,6.642608642578125,6.846939086914063,0.0336947441101074,1024.0,1024.0,1024.0,205.33197402954104,0.96875,0.994140625,0.99609375,0.99609375,0.99609375
0,4,1.996554136276245,,0.9951171875,0.99609375,-14.314595222473145,-14.069652557373049,0.01,7.020523071289063,6.82769775390625,0.0336654186248779,1024.0,1024.0,1024.0,203.66112518310547,0.9697265625,0.994140625,0.9951171875,0.99609375,0.9951171875
0,4,1.9966895580291748,,0.99609375,0.9970703125,-13.850342750549316,-14.128623008728027,0.01,6.614547729492188,6.9035186767578125,0.0336620807647705,1024.0,1024.0,1024.0,202.3783912658692,0.9697265625,0.9931640625,0.99609375,0.99609375,0.99609375
0,4,1.9968270063400269,,0.9951171875,0.99609375,-14.084928512573242,-13.920015335083008,0.01,6.894790649414063,6.7821197509765625,0.0336883068084716,1024.0,1024.0,1024.0,199.85542678833008,0.9697265625,0.994140625,0.9951171875,0.9951171875,0.9951171875
0,4,1.9969604015350344,,0.994140625,0.9951171875,-14.35756492614746,-13.936450004577637,0.01,7.208251953125,6.864349365234375,0.0336713790893554,1024.0,1024.0,1024.0,198.486083984375,0.9697265625,0.9951171875,0.994140625,0.99609375,0.99609375
0,4,1.9970920085906985,,0.9951171875,0.99609375,-13.756373405456545,-13.882179260253906,0.01,6.6188812255859375,6.77288818359375,0.03363037109375,1024.0,1024.0,1024.0,196.7412071228028,0.970703125,0.994140625,0.99609375,0.99609375,0.99609375
0,4,1.9972238540649407,,0.9951171875,0.99609375,-13.741537094116213,-13.87624740600586,0.01,6.589035034179688,6.747100830078125,0.0337233543395996,1024.0,1024.0,1024.0,195.01284408569336,0.970703125,0.994140625,0.99609375,0.99609375,0.99609375
0,4,1.9973671436309808,,0.99609375,0.9951171875,-13.659660339355469,-13.993860244750977,0.01,6.549102783203125,6.8914947509765625,0.0336520671844482,1024.0,1024.0,1024.0,194.099235534668,0.970703125,0.994140625,0.99609375,0.99609375,0.99609375
0,4,1.99749493598938,,0.994140625,0.994140625,-14.478437423706056,-13.908525466918944,0.01,7.396835327148437,6.918228149414063,0.033675193786621,1024.0,1024.0,1024.0,192.38493728637687,0.970703125,0.9951171875,0.994140625,0.99609375,0.9951171875
0,4,1.9976274967193604,,0.9951171875,0.99609375,-13.97647476196289,-13.72253131866455,0.01,6.964035034179688,6.788726806640625,0.0336499214172363,1024.0,1024.0,1024.0,190.764892578125,0.9716796875,0.9951171875,0.9951171875,0.9951171875,0.9951171875
0,4,1.9977527856826784,,0.99609375,0.9951171875,-13.652780532836914,-13.919431686401367,0.01,6.6123046875,6.9029541015625,0.0336670875549316,1024.0,1024.0,1024.0,189.8236312866211,0.9716796875,0.994140625,0.99609375,0.99609375,0.99609375
