,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4
0,4,1.9395015239715576,,0.4140625,0.4638671875,-716.0573120117188,-712.9451293945312,0.01,518.265380859375,515.1552734375,0.0351123809814453,1024.0,1024.0,1024.0,1487.34765625,0.4599609375,0.44921875,0.4248046875,0.5029296875,0.5029296875
0,4,1.9411773681640625,,0.4853515625,0.455078125,-709.85791015625,-711.6924438476562,0.01,512.0811767578125,513.9127807617188,0.033787727355957,1024.0,1024.0,1024.0,1461.5344543457031,0.46875,0.498046875,0.5029296875,0.5029296875,0.5029296875
0,4,1.941971778869629,,0.5029296875,0.47265625,-705.565673828125,-710.5379638671875,0.01,507.8282470703125,512.78173828125,0.03373384475708,1024.0,1024.0,1024.0,1443.4774780273438,0.474609375,0.5,0.5029296875,0.5029296875,0.5263671875
0,4,1.9414730072021484,,0.5458984375,0.4970703125,-701.53173828125,-708.3633422851562,0.01,503.86279296875,510.6527404785156,0.0338633060455322,1024.0,1024.0,1024.0,1431.2449035644531,0.4658203125,0.55859375,0.5185546875,0.5029296875,0.4970703125
0,4,1.9401252269744875,,0.5595703125,0.5244140625,-697.3287963867188,-704.9261474609375,0.01,499.7273559570313,507.273193359375,0.0336878299713134,1024.0,1024.0,1024.0,1419.923095703125,0.458984375,0.576171875,0.5537109375,0.5029296875,0.513671875
0,4,1.938236951828003,,0.587890625,0.5517578125,-693.8165893554688,-702.0849609375,0.01,496.28619384765625,504.4982299804688,0.0338721275329589,1024.0,1024.0,1024.0,1410.964874267578,0.462890625,0.5771484375,0.583984375,0.5029296875,0.5029296875
0,4,1.936081886291504,,0.5830078125,0.5556640625,-690.9561157226562,-699.227294921875,0.01,493.4860229492188,501.7084655761719,0.0341598987579345,1024.0,1024.0,1024.0,1403.604522705078,0.4921875,0.58203125,0.578125,0.5048828125,0.5029296875
0,4,1.9338243007659912,,0.5888671875,0.560546875,-689.0111083984375,-698.3189697265625,0.01,491.6154479980469,500.8670654296875,0.0345675945281982,1024.0,1024.0,1024.0,1398.472625732422,0.529296875,0.5908203125,0.591796875,0.5537109375,0.5029296875
0,4,1.9316301345825195,,0.591796875,0.568359375,-687.8192749023438,-697.2987060546875,0.01,490.4632568359375,499.8879699707031,0.0346527099609375,1024.0,1024.0,1024.0,1392.57275390625,0.546875,0.595703125,0.58984375,0.5869140625,0.5029296875
0,4,1.9293644428253167,,0.59375,0.5634765625,-687.1741333007812,-696.8384399414062,0.01,489.85650634765625,499.459228515625,0.0352144241333007,1024.0,1024.0,1024.0,1388.4566345214844,0.564453125,0.6005859375,0.583984375,0.578125,0.5751953125
