,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4
0,4,1.93555760383606,,0.51171875,0.505859375,-709.3309326171875,-709.495361328125,0.01,511.54827880859375,511.7127075195313,0.0357401371002197,1024.0,1024.0,1024.0,1530.2628784179688,0.458984375,0.447265625,0.51171875,0.48828125,0.484375
0,4,1.933847188949585,,0.5478515625,0.5458984375,-706.7007446289062,-706.8270263671875,0.01,508.9190368652344,509.0452270507813,0.0353443622589111,1024.0,1024.0,1024.0,1500.6404724121094,0.4599609375,0.541015625,0.5615234375,0.48828125,0.51171875
0,4,1.9322800636291504,,0.5595703125,0.552734375,-704.2188110351562,-704.470458984375,0.01,506.4425048828125,506.69439697265625,0.0347838401794433,1024.0,1024.0,1024.0,1481.6216735839844,0.447265625,0.5576171875,0.5595703125,0.5361328125,0.51171875
0,4,1.9307537078857424,,0.5546875,0.548828125,-702.3682861328125,-702.9046020507812,0.01,504.600341796875,505.1364440917969,0.0348596572875976,1024.0,1024.0,1024.0,1466.9801635742188,0.4443359375,0.55078125,0.5595703125,0.51171875,0.51171875
0,4,1.9291170835494995,,0.5546875,0.5517578125,-700.4725952148438,-701.336669921875,0.01,502.72216796875,503.58489990234375,0.0346789360046386,1024.0,1024.0,1024.0,1455.506866455078,0.4462890625,0.5556640625,0.5693359375,0.5498046875,0.51171875
0,4,1.9274940490722656,,0.5615234375,0.5537109375,-698.8411254882812,-700.007568359375,0.01,501.115966796875,502.2788391113281,0.0347533226013183,1024.0,1024.0,1024.0,1444.0178527832031,0.4404296875,0.5537109375,0.55859375,0.552734375,0.55859375
0,4,1.9257344007492063,,0.5537109375,0.552734375,-696.9166870117188,-698.2744140625,0.01,499.23345947265625,500.5877990722656,0.0346362590789794,1024.0,1024.0,1024.0,1437.161651611328,0.4306640625,0.556640625,0.5615234375,0.5517578125,0.568359375
0,4,1.924061894416809,,0.5556640625,0.5546875,-695.9239501953125,-697.74853515625,0.01,498.2821044921875,500.09271240234375,0.0353100299835205,1024.0,1024.0,1024.0,1430.9909057617188,0.4375,0.5498046875,0.5634765625,0.5546875,0.5361328125
0,4,1.9224039316177368,,0.5556640625,0.5517578125,-694.7105102539062,-696.8460693359375,0.01,497.111572265625,499.2313232421875,0.0354208946228027,1024.0,1024.0,1024.0,1424.8765258789062,0.4453125,0.5546875,0.5712890625,0.556640625,0.5634765625
0,4,1.920806646347046,,0.564453125,0.556640625,-694.0472412109375,-696.6061401367188,0.01,496.490966796875,499.0242614746094,0.0354371070861816,1024.0,1024.0,1024.0,1421.3482360839844,0.4404296875,0.55859375,0.5751953125,0.564453125,0.5625
0,4,1.9192546606063845,,0.572265625,0.552734375,-693.1893920898438,-695.9710083007812,0.01,495.6622314453125,498.4221496582031,0.0352847576141357,1024.0,1024.0,1024.0,1416.657470703125,0.5029296875,0.5595703125,0.572265625,0.5732421875,0.5634765625
0,4,1.917807579040528,,0.572265625,0.55078125,-692.6334228515625,-695.5712890625,0.01,495.132080078125,498.047119140625,0.035327672958374,1024.0,1024.0,1024.0,1413.67724609375,0.51171875,0.56640625,0.57421875,0.5732421875,0.5693359375
0,4,1.916414737701416,,0.5732421875,0.55078125,-692.33349609375,-695.4212646484375,0.01,494.8580322265625,497.9175109863281,0.03481125831604,1024.0,1024.0,1024.0,1410.5365600585938,0.51171875,0.5693359375,0.568359375,0.5712890625,0.5712890625
0,4,1.9151228666305544,,0.572265625,0.5478515625,-692.1004638671875,-695.2115478515625,0.01,494.6362609863281,497.7160949707031,0.0348076820373535,1024.0,1024.0,1024.0,1408.0619201660156,0.51171875,0.5712890625,0.568359375,0.5712890625,0.568359375
0,4,1.9138612747192385,,0.5703125,0.5498046875,-691.948974609375,-695.032958984375,0.01,494.4902038574219,497.5400390625,0.035407543182373,1024.0,1024.0,1024.0,1405.8541259765625,0.5556640625,0.5703125,0.5654296875,0.5673828125,0.56640625
0,4,1.9126569032669067,,0.5673828125,0.5478515625,-691.7290649414062,-694.9185791015625,0.01,494.2880859375,497.4387817382813,0.0352594852447509,1024.0,1024.0,1024.0,1404.2951354980469,0.5458984375,0.5712890625,0.5625,0.5673828125,0.5654296875
0,4,1.9114428758621216,,0.568359375,0.552734375,-691.8306274414062,-695.081298828125,0.01,494.3966979980469,497.5966796875,0.0353198051452636,1024.0,1024.0,1024.0,1402.665496826172,0.5625,0.5693359375,0.5654296875,0.568359375,0.568359375
0,4,1.910222053527832,,0.576171875,0.5498046875,-691.2706298828125,-694.4584350585938,0.01,493.8389587402344,496.9859924316406,0.0348291397094726,1024.0,1024.0,1024.0,1401.3878173828125,0.56640625,0.5732421875,0.560546875,0.5693359375,0.572265625
0,4,1.908987045288086,,0.5703125,0.548828125,-691.1854858398438,-694.4119873046875,0.01,493.7571411132813,496.9337768554688,0.0356230735778808,1024.0,1024.0,1024.0,1400.1013793945312,0.572265625,0.568359375,0.5615234375,0.568359375,0.564453125
0,4,1.907755136489868,,0.572265625,0.55078125,-691.0166015625,-694.4244384765625,0.01,493.6173095703125,496.9622192382813,0.0353550910949707,1024.0,1024.0,1024.0,1399.203857421875,0.5712890625,0.5673828125,0.5673828125,0.572265625,0.5673828125
0,4,1.906436800956726,,0.5712890625,0.552734375,-690.308837890625,-693.7516479492188,0.01,492.9463195800781,496.3309326171875,0.0348198413848876,1024.0,1024.0,1024.0,1398.5906372070312,0.56640625,0.576171875,0.560546875,0.5654296875,0.57421875
0,4,1.9051151275634768,,0.568359375,0.5537109375,-690.0328979492188,-693.5390014648438,0.01,492.6924743652344,496.13470458984375,0.0346717834472656,1024.0,1024.0,1024.0,1397.560516357422,0.5654296875,0.572265625,0.5615234375,0.5634765625,0.5703125
0,4,1.9038015604019165,,0.5673828125,0.552734375,-689.9263916015625,-693.3062744140625,0.01,492.5787963867188,495.8997192382813,0.0353903770446777,1024.0,1024.0,1024.0,1396.8751220703125,0.5673828125,0.5693359375,0.5625,0.5634765625,0.56640625
