,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4
0,4,1.9394644498825075,,0.55078125,0.5390625,-706.8236694335938,-708.6275634765625,0.01,509.0363159179688,510.83013916015625,0.0360674858093261,1024.0,1024.0,1024.0,1550.9806518554688,0.5400390625,0.490234375,0.5048828125,0.5048828125,0.5048828125
0,4,1.9412776231765747,,0.5908203125,0.5634765625,-693.4798583984375,-695.3935546875,0.01,495.7437133789063,497.65380859375,0.0344047546386718,1024.0,1024.0,1024.0,1498.92529296875,0.56640625,0.513671875,0.61328125,0.6845703125,0.5048828125
0,4,1.942768931388855,,0.623046875,0.609375,-685.7708740234375,-688.310302734375,0.01,488.127197265625,490.6557312011719,0.0338928699493408,1024.0,1024.0,1024.0,1463.1130981445312,0.5869140625,0.529296875,0.6005859375,0.6923828125,0.5048828125
0,4,1.9436711072921755,,0.6181640625,0.61328125,-677.3583374023438,-681.1485595703125,0.01,479.872802734375,483.6392211914063,0.0336625576019287,1024.0,1024.0,1024.0,1430.632781982422,0.6103515625,0.564453125,0.599609375,0.654296875,0.5048828125
0,4,1.943819046020508,,0.646484375,0.626953125,-668.34765625,-674.22021484375,0.01,471.0992126464844,476.9294128417969,0.033721923828125,1024.0,1024.0,1024.0,1399.750732421875,0.62890625,0.6142578125,0.6181640625,0.646484375,0.5048828125
0,4,1.9433401823043823,,0.6318359375,0.615234375,-659.7561645507812,-668.2454833984375,0.01,462.9428405761719,471.3414611816406,0.0338077545166015,1024.0,1024.0,1024.0,1371.4351196289062,0.6494140625,0.638671875,0.6220703125,0.6328125,0.6650390625
0,4,1.942266702651977,,0.6357421875,0.619140625,-650.2853393554688,-661.3876342773438,0.01,454.373779296875,465.26953125,0.0337038040161132,1024.0,1024.0,1024.0,1344.938018798828,0.6142578125,0.6416015625,0.6240234375,0.630859375,0.634765625
0,4,1.9407981634140008,,0.6396484375,0.6181640625,-640.677001953125,-654.4293823242188,0.01,446.2903442382813,459.6258544921875,0.0337145328521728,1024.0,1024.0,1024.0,1321.2167358398438,0.603515625,0.640625,0.638671875,0.6376953125,0.6474609375
0,4,1.93918251991272,,0.6396484375,0.61328125,-632.294921875,-648.9378662109375,0.01,439.9288330078125,455.8589172363281,0.0337181091308593,1024.0,1024.0,1024.0,1299.801727294922,0.6005859375,0.638671875,0.6376953125,0.6513671875,0.6494140625
0,4,1.937670946121216,,0.6484375,0.6162109375,-625.9797973632812,-645.5919799804688,0.01,435.8009643554688,454.3411254882813,0.0344593524932861,1024.0,1024.0,1024.0,1281.7819519042969,0.5986328125,0.6396484375,0.6435546875,0.6552734375,0.654296875
0,4,1.9365365505218504,,0.65234375,0.6181640625,-621.5647583007812,-644.104248046875,0.01,433.3103637695313,454.4112548828125,0.0344796180725097,1024.0,1024.0,1024.0,1267.3399658203125,0.6083984375,0.6455078125,0.6513671875,0.6552734375,0.6533203125
0,4,1.935868263244629,,0.65625,0.62109375,-618.3839111328125,-643.1068115234375,0.01,431.0457458496094,454.1744995117188,0.0353028774261474,1024.0,1024.0,1024.0,1255.941375732422,0.6220703125,0.6474609375,0.65625,0.6484375,0.6484375
0,4,1.935625672340393,,0.6552734375,0.6201171875,-615.6373291015625,-640.7200317382812,0.01,429.3309326171875,452.7091979980469,0.0352044105529785,1024.0,1024.0,1024.0,1247.6427917480469,0.6357421875,0.654296875,0.66015625,0.6533203125,0.662109375
0,4,1.9356448650360107,,0.6572265625,0.6259765625,-612.359130859375,-636.564697265625,0.01,426.6959533691406,449.2575988769531,0.034775972366333,1024.0,1024.0,1024.0,1241.7005920410156,0.6376953125,0.658203125,0.6533203125,0.658203125,0.6494140625
0,4,1.9359331130981443,,0.6591796875,0.625,-609.4566040039062,-634.04150390625,0.01,424.3474731445313,447.3058166503906,0.0346300601959228,1024.0,1024.0,1024.0,1233.9541015625,0.642578125,0.658203125,0.6552734375,0.6396484375,0.6357421875
0,4,1.9363667964935305,,0.6630859375,0.623046875,-605.5618896484375,-628.6722412109375,0.01,421.7685852050781,443.22845458984375,0.0346875190734863,1024.0,1024.0,1024.0,1227.533233642578,0.6513671875,0.65625,0.6591796875,0.6640625,0.6337890625
0,4,1.937078237533569,,0.6640625,0.625,-600.9656982421875,-623.3502807617188,0.01,417.6934814453125,438.6017761230469,0.0345673561096191,1024.0,1024.0,1024.0,1220.6388854980469,0.6533203125,0.6591796875,0.6650390625,0.658203125,0.6650390625
0,4,1.9381386041641235,,0.6591796875,0.625,-596.3018188476562,-617.8438720703125,0.01,413.6988525390625,433.9168090820313,0.0343022346496582,1024.0,1024.0,1024.0,1214.11328125,0.654296875,0.662109375,0.6650390625,0.658203125,0.642578125
0,4,1.9397026300430296,,0.6572265625,0.62890625,-589.87548828125,-609.8045654296875,0.01,409.7516784667969,428.2276306152344,0.0339529514312744,1024.0,1024.0,1024.0,1207.8030700683594,0.65625,0.6650390625,0.6611328125,0.6376953125,0.61328125
