,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4
0,4,1.9354989528656008,,0.5673828125,0.556640625,-699.2669067382812,-702.3021240234375,0.01,501.52935791015625,504.5504150390625,0.0359969139099121,1024.0,1024.0,1024.0,1521.9465637207031,0.5029296875,0.576171875,0.55078125,0.4970703125,0.4970703125
0,4,1.93363893032074,,0.587890625,0.5576171875,-695.5529174804688,-700.4454956054688,0.01,497.8704223632813,502.7263488769531,0.0345926284790039,1024.0,1024.0,1024.0,1491.8436584472656,0.5029296875,0.5888671875,0.5693359375,0.4970703125,0.5029296875
0,4,1.931860446929932,,0.5849609375,0.5458984375,-692.35595703125,-700.4519653320312,0.01,494.7204284667969,502.76220703125,0.0346121788024902,1024.0,1024.0,1024.0,1465.7823486328125,0.5029296875,0.59765625,0.58203125,0.544921875,0.5029296875
0,4,1.93021821975708,,0.5830078125,0.5419921875,-690.7307739257812,-701.4762573242188,0.01,493.1523132324219,503.8128051757813,0.0346519947052001,1024.0,1024.0,1024.0,1443.7365112304688,0.5029296875,0.5849609375,0.58203125,0.576171875,0.5029296875
0,4,1.9286504983901973,,0.5791015625,0.5439453125,-689.8983154296875,-702.8951416015625,0.01,492.38677978515625,505.2472534179688,0.0346009731292724,1024.0,1024.0,1024.0,1425.678955078125,0.5029296875,0.5771484375,0.587890625,0.5634765625,0.5029296875
0,4,1.927194595336914,,0.57421875,0.5390625,-689.4365844726562,-704.1726684570312,0.01,491.9866638183594,506.5272216796875,0.035945177078247,1024.0,1024.0,1024.0,1410.6216735839844,0.5029296875,0.578125,0.5830078125,0.5703125,0.5029296875
0,4,1.9257752895355225,,0.5830078125,0.541015625,-688.041259765625,-702.8265991210938,0.01,490.69915771484375,505.2532348632813,0.0351233482360839,1024.0,1024.0,1024.0,1399.1558837890625,0.546875,0.578125,0.583984375,0.57421875,0.505859375
0,4,1.924463033676148,,0.58203125,0.5439453125,-687.5505981445312,-702.5009155273438,0.01,490.2689208984375,504.967529296875,0.0346293449401855,1024.0,1024.0,1024.0,1389.7678833007812,0.5400390625,0.580078125,0.5830078125,0.583984375,0.5751953125
0,4,1.9232721328735352,,0.58203125,0.5390625,-687.1008911132812,-701.6019897460938,0.01,489.841064453125,504.0970153808594,0.0345096588134765,1024.0,1024.0,1024.0,1383.2987670898438,0.5791015625,0.58984375,0.5830078125,0.5869140625,0.5869140625
0,4,1.9221515655517576,,0.5830078125,0.546875,-687.2891845703125,-702.562255859375,0.01,490.0154724121094,505.035888671875,0.0350463390350341,1024.0,1024.0,1024.0,1377.7924194335938,0.564453125,0.5830078125,0.583984375,0.5927734375,0.583984375
