,0,2,4,6,8,10,12,14,16,18,20
0,1,1,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,2,1,3,2,1
2,1,1,1,1,1,1,1,1,1,2,1
3,1,1,1,1,1,2,1,3,1,2,2
4,1,1,1,1,1,1,2,2,2,2,1
