,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4,test_accuracy_layer_5,test_accuracy_layer_6,test_accuracy_layer_7,test_accuracy_layer_8,test_accuracy_layer_9,test_accuracy_layer_10
0,10,5.725627422332764,,0.2891,0.283,-22976.193359375,-2297.65966796875,0.01,8990.048828125,899.0133056640625,2.159021139144897,5000.0,1000.0,10000.0,3.494259647176236,0.7394,0.1312,0.1336,0.1006,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,10,5.60194730758667,,0.2598,0.261,-22870.1484375,-2286.79443359375,0.01,8968.75,896.8314208984375,1.8209831714630127,5000.0,1000.0,10000.0,3.085446686684331,0.7759,0.2648,0.261,0.2998,0.1,0.1,0.1028,0.1616,0.0778,0.1,0.1
0,9,5.312407970428467,,0.3163,0.302,-22484.90234375,-2248.30712890625,0.01,8890.5869140625,889.0306396484375,1.76231050491333,5000.0,1000.0,10000.0,2.988735808601862,0.7763,0.342,0.3775,0.3277,0.1785,0.1974,0.1029,0.1,0.1,0.1,
0,9,4.964155197143555,,0.3994,0.407,-19842.556640625,-1983.0035400390625,0.01,8293.091796875,828.9608764648438,1.738553524017334,5000.0,1000.0,10000.0,2.8376978801775583,0.7913,0.3749,0.4859,0.4345,0.3335,0.2404,0.2075,0.0948,0.1,0.1,
0,7,4.003811359405518,,0.4587,0.454,-12489.2880859375,-1240.4071044921875,0.01,6264.38427734375,623.1561279296875,1.6190340518951416,5000.0,1000.0,10000.0,2.260243737244908,0.7961,0.4665,0.5264,0.5308,0.453,0.3554,0.4218,0.3344,,,
0,2,1.2357332706451416,,0.6686,0.654,-9812.384765625,-1040.7891845703125,0.1,4960.51806640625,513.253662109375,1.1158788204193115,5000.0,1000.0,10000.0,1.8396717098694813,0.7377,0.6634,0.7072,,,,,,,,
0,3,1.3396817445755005,,0.7525,0.763,-6660.17822265625,-629.7699584960938,0.1,3357.234375,319.5127868652344,0.9113972187042236,5000.0,1000.0,10000.0,1.4736638174781316,0.7409,0.7471,0.7765,0.7024,,,,,,,
0,3,1.3403407335281372,,0.7379,0.722,-7561.0458984375,-787.10400390625,0.1,3654.31787109375,373.859130859375,0.9310264587402344,5000.0,1000.0,10000.0,1.2707613646229612,0.7588,0.732,0.745,0.7251,,,,,,,
0,2,1.251381278038025,,0.7554,0.757,-6833.47412109375,-695.9429931640625,0.1,3423.640869140625,347.23809814453125,0.974994421005249,5000.0,1000.0,10000.0,1.1627976690666586,0.7762,0.7501,0.7745,,,,,,,,
0,3,1.3497146368026731,,0.8059,0.799,-5437.7431640625,-553.2366943359375,0.1,2750.35546875,283.8234558105469,0.9601635932922364,5000.0,1000.0,10000.0,1.1263527326946017,0.7684,0.8038,0.8037,0.8003,,,,,,,
0,3,1.3510911464691162,,0.7689,0.767,-6428.8427734375,-634.8685913085938,0.1,3257.912353515625,322.1569519042969,0.9279119968414308,5000.0,1000.0,10000.0,1.091843103306203,0.8005,0.776,0.7523,0.7631,,,,,,,
0,3,1.3648741245269775,,0.7931,0.806,-6002.9228515625,-582.0225830078125,0.1,2964.692138671875,273.86431884765625,1.1884784698486328,5000.0,1000.0,10000.0,1.1632563513291032,0.8145,0.7913,0.7959,0.7959,,,,,,,
0,3,1.3911677598953247,,0.7921,0.813,-5722.37548828125,-537.7366333007812,0.1,2903.818359375,265.8130798339844,1.18341064453125,5000.0,1000.0,10000.0,1.0596904652782633,0.7795,0.7861,0.8025,0.8172,,,,,,,
0,3,1.4041881561279297,,0.7785,0.768,-6455.85205078125,-687.177734375,0.1,3204.043701171875,333.5394897460937,1.1567766666412354,5000.0,1000.0,10000.0,1.0376312536529348,0.7777,0.7773,0.7781,0.7793,,,,,,,
0,3,1.4391083717346191,,0.7564,0.783,-6513.498046875,-574.7806396484375,0.1,3306.174072265625,294.191162109375,1.2501513957977295,5000.0,1000.0,10000.0,1.194928553285478,0.7744,0.7529,0.7671,0.7843,,,,,,,
0,3,1.396579384803772,,0.7945,0.806,-6036.0703125,-583.708251953125,0.1,2953.50537109375,266.84454345703125,1.2588059902191162,5000.0,1000.0,10000.0,1.038900269360482,0.7737,0.7912,0.801,0.8071,,,,,,,
0,3,1.4249228239059448,,0.8181,0.831,-5247.2802734375,-491.5597839355469,0.1,2622.910888671875,242.33450317382807,1.177720546722412,5000.0,1000.0,10000.0,1.007716575378104,0.8141,0.8177,0.8153,0.8187,,,,,,,
0,3,1.3912564516067505,,0.7976,0.81,-5825.68017578125,-537.3856201171875,0.1,2826.097900390625,255.4901885986328,1.233686447143555,5000.0,1000.0,10000.0,1.0052571289147003,0.7128,0.7961,0.8054,0.8052,,,,,,,
0,3,1.3780007362365725,,0.801,0.793,-5818.462890625,-607.9485473632812,0.1,2792.257568359375,287.2158203125,1.0628914833068848,5000.0,1000.0,10000.0,1.0433122089392022,0.7911,0.7995,0.8004,0.8062,,,,,,,
0,3,1.415942907333374,,0.8014,0.813,-5431.1162109375,-535.394775390625,0.1,2769.123046875,266.5307006835937,1.187520980834961,5000.0,1000.0,10000.0,0.8783935855461072,0.765,0.7973,0.8049,0.8076,,,,,,,
0,3,1.3857611417770386,,0.774,0.792,-7610.4697265625,-669.0774536132812,0.1,3431.8193359375,315.1533508300781,1.199663162231445,5000.0,1000.0,10000.0,0.7839964526363566,0.7408,0.7708,0.7761,0.7828,,,,,,,
0,3,1.4001662731170654,,0.8115,0.824,-5590.48046875,-522.0573120117188,0.1,2711.549560546875,254.0616912841797,1.2035601139068604,5000.0,1000.0,10000.0,0.8659890505331981,0.8029,0.8124,0.808,0.8106,,,,,,,
