,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4,test_accuracy_layer_5,test_accuracy_layer_6,test_accuracy_layer_7,test_accuracy_layer_8,test_accuracy_layer_9,test_accuracy_layer_10
0,10,5.724712371826172,,0.1,0.103,-22974.46875,-2297.610107421875,0.01,8989.69921875,899.0032348632812,1.914135217666626,5000.0,1000.0,10000.0,3.503345869764497,0.7308,0.1426,0.1213,0.1,0.172,0.1,0.1,0.1,0.1,0.1,0.1
0,10,5.598245143890381,,0.1005,0.105,-22861.2890625,-2286.2109375,0.01,8966.9365234375,896.7135620117188,1.8865046501159668,5000.0,1000.0,10000.0,3.074234011807019,0.7589,0.2481,0.1645,0.1218,0.1648,0.1012,0.1,0.1,0.1032,0.1,0.1
0,9,5.302340984344482,,0.1849,0.184,-22430.306640625,-2242.818359375,0.01,8879.447265625,887.92578125,1.6629505157470703,5000.0,1000.0,10000.0,2.9869441473031344,0.7839,0.306,0.3304,0.2084,0.2076,0.1771,0.2177,0.1,0.1,0.1,
0,9,4.925538539886475,,0.3317,0.337,-19500.673828125,-1953.244873046875,0.01,8227.3369140625,823.897216796875,1.6302495002746582,5000.0,1000.0,10000.0,2.811568727976159,0.7931,0.352,0.4847,0.4188,0.3273,0.2765,0.1658,0.1523,0.1,0.1,
0,7,3.988101959228516,,0.5712,0.556,-12028.4580078125,-1218.474365234375,0.01,6023.4501953125,608.8259887695312,1.5168323516845703,5000.0,1000.0,10000.0,2.2059320301949223,0.7921,0.4898,0.5822,0.5741,0.5299,0.4785,0.3526,0.3251,,,
0,2,1.231404185295105,,0.7513,0.749,-6740.70263671875,-697.9640502929688,0.1,3418.478759765625,353.85699462890625,1.2592482566833496,5000.0,1000.0,10000.0,1.8678716979449308,0.7599,0.7469,0.7584,,,,,,,,
0,2,1.2560575008392334,,0.7902,0.771,-6215.921875,-658.9338989257812,0.1,3019.096923828125,319.68218994140625,1.0895612239837646,5000.0,1000.0,10000.0,1.3134329171874854,0.6812,0.7868,0.7886,,,,,,,,
0,2,1.2570204734802246,,0.7629,0.756,-6458.79052734375,-662.7051391601562,0.1,3247.268798828125,331.32147216796875,1.088292121887207,5000.0,1000.0,10000.0,1.147519260267668,0.7493,0.7537,0.7866,,,,,,,,
0,2,1.2585289478302002,,0.8102,0.795,-5520.97021484375,-584.660888671875,0.1,2725.84814453125,290.41876220703125,0.8557798862457275,5000.0,1000.0,10000.0,1.0585007633589492,0.8149,0.8071,0.8135,,,,,,,,
0,2,1.2576478719711304,,0.7647,0.769,-6566.77490234375,-665.3837890625,0.1,3287.2490234375,333.4497375488281,0.8487346172332764,5000.0,1000.0,10000.0,1.0645706789403022,0.7544,0.7599,0.7792,,,,,,,,
0,2,1.2596304416656494,,0.7906,0.779,-6051.00439453125,-621.5572509765625,0.1,2982.369140625,312.5809936523437,0.8712906837463379,5000.0,1000.0,10000.0,1.0501411213904996,0.7932,0.7869,0.7966,,,,,,,,
0,2,1.2551426887512207,,0.7595,0.768,-6353.7900390625,-636.9418334960938,0.1,3272.197021484375,328.1000366210937,0.8880071640014648,5000.0,1000.0,10000.0,1.004138654168648,0.71,0.7538,0.7829,,,,,,,,
0,2,1.261157512664795,,0.7795,0.78,-6721.7841796875,-701.2069091796875,0.1,3264.83544921875,340.8652038574219,0.8627278804779053,5000.0,1000.0,10000.0,1.0691560710532757,0.7263,0.7769,0.7851,,,,,,,,
0,2,1.25968337059021,,0.8146,0.808,-5506.33349609375,-564.7442016601562,0.1,2640.623046875,272.3749084472656,0.9143142700195312,5000.0,1000.0,10000.0,0.9427653464335428,0.8117,0.8164,0.8157,,,,,,,,
0,2,1.2604787349700928,,0.7752,0.76,-5858.02490234375,-594.7544555664062,0.1,3063.9208984375,314.6536560058594,0.983161449432373,5000.0,1000.0,10000.0,0.90441314253626,0.737,0.767,0.8049,,,,,,,,
