,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4,test_accuracy_layer_5,test_accuracy_layer_6,test_accuracy_layer_7,test_accuracy_layer_8,test_accuracy_layer_9,test_accuracy_layer_10
0,10,5.7255449295043945,,0.1,0.093,-22975.98046875,-2297.957275390625,0.01,8989.9970703125,899.0717163085938,2.6323049068450928,5000.0,1000.0,10000.0,3.510683711571029,0.7296,0.1343,0.1266,0.1,0.2437,0.1,0.1,0.1004,0.1,0.1,0.1
0,10,5.601569652557373,,0.1664,0.159,-22867.82421875,-2287.071533203125,0.01,8968.224609375,896.8814697265625,2.149943351745605,5000.0,1000.0,10000.0,3.075865700275083,0.7716,0.2437,0.2329,0.1591,0.2838,0.1066,0.1,0.1848,0.1,0.1,0.1
0,9,5.310751914978027,,0.2827,0.273,-22466.8359375,-2246.841064453125,0.01,8886.9130859375,888.726318359375,1.7038171291351318,5000.0,1000.0,10000.0,2.984346347519114,0.786,0.3013,0.3114,0.2382,0.3259,0.2184,0.1308,0.1946,0.1,0.1,
0,9,4.956785678863525,,0.4571,0.461,-19766.138671875,-1973.7952880859373,0.01,8294.3759765625,828.8251342773438,1.853426218032837,5000.0,1000.0,10000.0,2.833123279523246,0.7872,0.3202,0.5571,0.4215,0.4007,0.2903,0.3121,0.1974,0.1,0.1,
0,7,4.005121231079102,,0.5364,0.56,-12126.28125,-1193.9403076171875,0.01,6053.166015625,600.5123291015625,1.6966729164123535,5000.0,1000.0,10000.0,2.2506950837147386,0.7909,0.5212,0.5873,0.5463,0.5566,0.5173,0.445,0.2602,,,
0,3,1.4997766017913818,,0.7551,0.766,-6698.73583984375,-637.9320678710938,0.1,3440.685302734375,335.43951416015625,1.2364094257354736,5000.0,1000.0,10000.0,1.7395750012578843,0.7402,0.76,0.7084,0.7414,,,,,,,
0,3,1.4746999740600586,,0.7918,0.808,-5893.77294921875,-555.953857421875,0.1,2969.568603515625,279.08172607421875,1.1843559741973877,5000.0,1000.0,10000.0,1.4334873021403445,0.7785,0.7837,0.7923,0.7964,,,,,,,
0,3,1.5074459314346311,,0.7908,0.803,-5944.7158203125,-556.6612548828125,0.1,2984.9833984375,282.37115478515625,1.186230182647705,5000.0,1000.0,10000.0,1.3269899638393257,0.7681,0.7898,0.785,0.7843,,,,,,,
0,3,1.4781866073608398,,0.6818,0.701,-10179.1611328125,-936.3877563476562,0.1,4702.73486328125,438.581298828125,1.2958869934082031,5000.0,1000.0,10000.0,1.1227055637142327,0.677,0.6738,0.6885,0.7033,,,,,,,
0,3,1.5522233247756958,,0.8079,0.815,-5676.09033203125,-516.0095825195312,0.1,2794.858642578125,260.8790283203125,1.2593200206756592,5000.0,1000.0,10000.0,1.0941411053078085,0.7681,0.7947,0.8083,0.8126,,,,,,,
