,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4,test_accuracy_layer_5,test_accuracy_layer_6,test_accuracy_layer_7,test_accuracy_layer_8,test_accuracy_layer_9,test_accuracy_layer_10
0,10,5.725318908691406,,0.1,0.098,-22976.728515625,-2297.814453125,0.01,8990.140625,899.0421752929688,5.823186159133911,5000.0,1000.0,10000.0,3.498350025732306,0.7201,0.1377,0.1405,0.1,0.1801,0.1,0.1,0.1,0.1,0.1,0.1
0,10,5.601199626922607,,0.1,0.098,-22870.662109375,-2286.789794921875,0.01,8968.73828125,896.818603515625,1.806466579437256,5000.0,1000.0,10000.0,3.085041387171685,0.7503,0.2458,0.1988,0.1221,0.1267,0.1,0.1668,0.1,0.1,0.1,0.1
0,9,5.311943054199219,,0.2672,0.275,-22489.0,-2247.7578125,0.01,8890.9267578125,888.8540649414062,1.8286709785461424,5000.0,1000.0,10000.0,2.99200209183029,0.7808,0.3063,0.3161,0.2418,0.2425,0.1863,0.1,0.1,0.1,0.1,
0,9,4.968806743621826,,0.4275,0.431,-19909.400390625,-1982.14501953125,0.01,8319.6875,829.6412353515625,1.8167164325714111,5000.0,1000.0,10000.0,2.8512353082246418,0.783,0.331,0.5276,0.4421,0.4019,0.2907,0.2965,0.1,0.1976,0.0999,
0,7,4.021111488342285,,0.4648,0.459,-12789.287109375,-1270.5616455078125,0.01,6304.68017578125,630.0299682617188,1.6326231956481934,5000.0,1000.0,10000.0,2.2864838038818744,0.7934,0.4817,0.5471,0.4804,0.4907,0.4205,0.4244,0.3378,,,
0,3,1.5161840915679932,,0.7046,0.725,-7980.05615234375,-775.8869018554688,0.1,4104.8466796875,398.16259765625,1.134659767150879,5000.0,1000.0,10000.0,1.8274254316016088,0.7298,0.6953,0.7079,0.7081,,,,,,,
0,3,1.465707778930664,,0.7596,0.769,-6392.34375,-634.9400024414062,0.1,3268.580078125,325.4038391113281,1.0225510597229004,5000.0,1000.0,10000.0,1.6444330426711071,0.7554,0.7539,0.771,0.7632,,,,,,,
0,3,1.4908535480499268,,0.7909,0.792,-5813.919921875,-557.9456787109375,0.1,2941.515380859375,283.9505615234375,1.1912331581115725,5000.0,1000.0,10000.0,1.3705062715313103,0.795,0.7913,0.7878,0.7737,,,,,,,
0,3,1.4509683847427368,,0.8004,0.817,-5720.662109375,-511.71783447265625,0.1,2890.7421875,260.1968688964844,1.1817080974578855,5000.0,1000.0,10000.0,1.0615770475396626,0.8014,0.8019,0.796,0.7903,,,,,,,
0,3,1.4072649478912354,,0.7582,0.789,-6775.21875,-618.5254516601562,0.1,3375.1181640625,305.96209716796875,1.2007532119750977,5000.0,1000.0,10000.0,1.0362901008581813,0.7754,0.7567,0.7606,0.7623,,,,,,,
